,global_id,created_at,updated_at,external_id,deleted_at,name,certificate_number,address1,address2,city,state_code,postal_code,country_code,phone,type,code,is_live,expired_at,suspended,Full_Address,main-address,Lat,Lon
138,WAWA1.MM3V,1/1/1900 00:00,1/5/2021 18:06,301,,WESTSIDE420 RECREATIONAL,603074019,4503 OCEAN BEACH HWY STE 103,,LONGVIEW,WA,986325055,US,3604235261,dispensary,R412466,TRUE,12/30/2021 16:00,FALSE,4503 OCEAN BEACH HWY STE 103 LONGVIEW,"4503, Ocean Beach Highway, Longview, Cowlitz County, Washington, 98632, United States",46.16275627,-122.9981648
139,WAWA1.MM3W,1/1/1900 00:00,7/12/2019 18:33,302,,GREEN STOP CANNABIS                          ,603475611,7466 MT BAKER HWY             ,,MAPLE FALLS             ,WA,982660000,US,3607468734,dispensary,R413801,TRUE,1/30/2020 16:00,FALSE,7466 MT BAKER HWY              MAPLE FALLS             ,"Green Stop Cannabis LLC, 7466, Mount Baker Highway, Maple Falls, Whatcom County, Washington, 98244, United States",48.92440045,-122.0790703
145,WAWA1.MM42,1/1/1900 00:00,1/5/2021 18:06,307,,PIECE OF MIND CANNABIS,603348638,9301 N DIVISION ST STE B-C,,SPOKANE,WA,992181254,US,5099947051,dispensary,R414664,TRUE,11/29/2021 16:00,FALSE,9301 N DIVISION ST STE B-C SPOKANE,"9301, North Division Street, Spokane, Spokane County, Washington, 99218, United States",47.74094853,-117.411199
151,WAWA1.MM48,1/1/1900 00:00,1/5/2021 18:06,317,,RAINIER ON PINE,603358289,3111 S PINE ST,,TACOMA,WA,984094711,US,2066508908,dispensary,R414723,FALSE,12/30/2018 16:00,TRUE,3111 S PINE ST TACOMA,"Cookies Tacoma, 3111, South Pine Street, Tacoma, Pierce County, Washington, 98409, United States",47.2326075,-122.4732542
153,WAWA1.MM4A,1/1/1900 00:00,1/5/2021 18:06,319,,MAIN STREET MARIJUANA,603357161,2314 MAIN ST,,VANCOUVER,WA,986602642,US,3606063260,dispensary,R414876,TRUE,12/30/2021 16:00,FALSE,2314 MAIN ST VANCOUVER,"Main Street, The Village Shops, Mount Pleasant, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V5T 1B6, Canada",49.2682994,-123.1006751
154,WAWA1.MM4B,1/1/1900 00:00,1/5/2021 18:06,320,,THE ZEN DEN,604287174,257 ENGH RD,,OMAK,WA,988419472,US,5096990471,dispensary,R420812,TRUE,5/30/2021 17:00,FALSE,257 ENGH RD OMAK,"Engh Road, Omak, Okanogan County, Washington, 98841, United States",48.4166833,-119.4950437
155,WAWA1.MM4C,1/1/1900 00:00,7/12/2019 18:33,321,,LOVELY BUDS DIVISION                         ,604304091,1403 N DIVISION ST STE A      ,,SPOKANE                 ,WA,992083638,US,2082904347,dispensary,R410798,TRUE,7/30/2019 17:00,FALSE,1403 N DIVISION ST STE A       SPOKANE                 ,"Centre Place Plaza, 1403, North Division Street, Garfield, Spokane, Spokane County, Washington, 99258, United States",47.67088365,-117.4117589
156,WAWA1.MM4D,1/1/1900 00:00,1/5/2021 18:06,322,,CLEAR CHOICE CANNABIS,603267081,8001 S HOSMER ST,,TACOMA,WA,984081017,US,2534445444,dispensary,R413358,TRUE,1/30/2022 16:00,FALSE,8001 S HOSMER ST TACOMA,"8001, South Hosmer Street, Tacoma, Pierce County, Washington, 98408, United States",47.184541,-122.463066
157,WAWA1.MM4E,1/1/1900 00:00,1/5/2021 18:06,323,,MARIJUANA MART,603351976,6230 197TH SW AVE,,ROCHESTER,WA,985790000,US,3608587188,dispensary,R428846,TRUE,11/29/2021 16:00,FALSE,6230 197TH SW AVE ROCHESTER,,,
158,WAWA1.MM4F,1/1/1900 00:00,1/5/2021 18:06,324,,CASCADE HERB COMPANY,603358738,1240 E MAPLE ST STE 103,,BELLINGHAM,WA,982255749,US,3607782357,dispensary,R415094,TRUE,12/30/2021 16:00,FALSE,1240 E MAPLE ST STE 103 BELLINGHAM,"Cascade Herb Company, 1240, East Maple Street, Sehome, Bellingham, Whatcom County, Washington, 98225, United States",48.7396745,-122.4703944
160,WAWA1.MM4H,1/1/1900 00:00,1/5/2021 18:06,326,,GOODBUDS,602377723,5384 NW K RD STE A,,QUINCY,WA,988480000,US,5093988843,dispensary,R415294,TRUE,3/30/2021 17:00,FALSE,5384 NW K RD STE A QUINCY,,47.16792,-119.7266
162,WAWA1.MM4J,1/1/1900 00:00,1/5/2021 18:06,328,,SPOKANE GREEN LEAF,603350712,9107 N COUNTRY HOMES BLVD #13,STE 13,SPOKANE,WA,992185007,US,5099193467,dispensary,R422146,TRUE,11/29/2021 16:00,FALSE,9107 N COUNTRY HOMES BLVD #13 SPOKANE,"9107, North Country Homes Boulevard, Town and Country, Spokane County, Washington, 99218, United States",47.73982287,-117.4147816
163,WAWA1.MM4K,1/1/1900 00:00,1/5/2021 18:06,329,,CASCADE KROPZ,603365603,19127 SMOKEY POINT BLVD BLDG 1,,ARLINGTON,WA,982234264,US,3606595422,dispensary,R425539,TRUE,1/30/2022 16:00,FALSE,19127 SMOKEY POINT BLVD BLDG 1 ARLINGTON,"Arlington Police, Smokey Point Drive, Smokey Point Village, Totem Park, Arlington, Snohomish County, Washington, 09223, United States",48.1535651,-122.1873866
165,WAWA1.MM4M,1/1/1900 00:00,1/5/2021 18:06,331,,THE HAPPY CROP SHOPPE,603339564,50 ROCK ISLAND RD,,EAST WENATCHEE,WA,988025352,US,5098881597,dispensary,R413481,TRUE,10/30/2021 17:00,FALSE,50 ROCK ISLAND RD EAST WENATCHEE,"50, Rock Island Road, East Wenatchee, Douglas County, Washington, 98802, United States",47.40469684,-120.2885847
166,WAWA1.MM4N,1/1/1900 00:00,1/5/2021 18:06,331,,THE HAPPY CROP SHOPPE,603339564,5736 VALE RD,,CASHMERE,WA,988150000,US,5098882454,dispensary,R413600,TRUE,10/30/2021 17:00,FALSE,5736 VALE RD CASHMERE,"5736, Vale Road, Cashmere, Chelan County, Washington, 98815, United States",47.5287062,-120.4886724
171,WAWA1.MM4S,1/1/1900 00:00,1/5/2021 18:06,335,,420 HOLIDAY,603359238,2028 10TH AVE,,LONGVIEW,WA,986324007,US,3607033103,dispensary,R415526,TRUE,12/30/2021 16:00,FALSE,2028 10TH AVE LONGVIEW,"2028, 10th Avenue, Triangle Shopping Center, Longview, Cowlitz County, Washington, 98632, United States",46.14558681,-122.9294745
173,WAWA1.MM4U,1/1/1900 00:00,1/5/2021 18:06,337,,FREEDOM MARKET,603410347,820A WESTSIDE HWY,,KELSO,WA,986264355,US,3603550682,dispensary,R414280,TRUE,6/29/2021 17:00,FALSE,820A WESTSIDE HWY KELSO,"Westside Highway, West Kelso, Kelso, Cowlitz County, Washington, 98626, United States",46.1572769,-122.9157064
174,WAWA1.MM4V,1/1/1900 00:00,1/5/2021 18:06,338,,ZIPS CANNABIS,604273684,317 S 72ND ST,,TACOMA,WA,984086003,US,2533024192,dispensary,R427634,TRUE,5/30/2021 17:00,FALSE,317 S 72ND ST TACOMA,"317, South 72nd Street, J & C Plaza, Tacoma, Pierce County, Washington, 98408, United States",47.1919484,-122.4355088
177,WAWA1.MM4Y,1/1/1900 00:00,1/5/2021 18:06,341,,FRESH GREENS,604198991,29 HORIZON FLATS RD STE 8,,WINTHROP,WA,988628400,US,5094295556,dispensary,R413530,TRUE,12/30/2021 16:00,FALSE,29 HORIZON FLATS RD STE 8 WINTHROP,,,
178,WAWA1.MM4Z,1/1/1900 00:00,1/5/2021 18:06,342,,420 CARPENTER,603358548,422 CARPENTER RD STE 105,,LACEY,WA,985037906,US,3604026368,dispensary,R415083,TRUE,12/30/2021 16:00,FALSE,422 CARPENTER RD STE 105 LACEY,,47.04842,-122.79557
179,WAWA1.MM50,1/1/1900 00:00,1/5/2021 18:06,342,,420 WEST,603358548,410 RONLEE LN NW A1,,OLYMPIA,WA,985029266,US,3604026368,dispensary,R414733,TRUE,12/30/2021 16:00,FALSE,410 RONLEE LN NW A1 OLYMPIA,,,
180,WAWA1.MM51,1/1/1900 00:00,1/5/2021 18:06,343,,2020 SOLUTIONS IRON STREET,604349015,2018 IRON ST STE A,,BELLINGHAM,WA,982264212,US,2068180966,dispensary,R415470,TRUE,10/30/2021 17:00,FALSE,2018 IRON ST STE A BELLINGHAM,"2020 Solutions, 2018, Iron Street, Bellingham, Whatcom County, Washington, 98226, United States",48.757076,-122.4661736
181,WAWA1.MM52,1/1/1900 00:00,1/5/2021 18:06,344,,ALTITUDE,603357090,260 MERLOT DR,,PROSSER,WA,993509533,US,5097864200,dispensary,R414225,TRUE,12/30/2021 16:00,FALSE,260 MERLOT DR PROSSER,"Altitude MJ, 260, Merlot Drive, Prosser, Benton County, Washington, 99350, United States",46.2197899,-119.7845169
184,WAWA1.MM55,1/1/1900 00:00,1/5/2021 18:06,347,,THE BACK PORCH,604322390,907 N WENATCHEE AVENUE STE B,,WENATCHEE,WA,985011572,US,5098881536,dispensary,R415645,TRUE,8/30/2021 17:00,FALSE,907 N WENATCHEE AVENUE STE B WENATCHEE,"907, North Wenatchee Avenue, Wenatchee, Chelan County, Washington, 98801, United States",47.4397322,-120.3236209
186,WAWA1.MM57,1/1/1900 00:00,1/5/2021 18:06,349,,HERBAL NATION,603489660,19302 BOTHELL EVERETT HWY,,BOTHELL,WA,980127113,US,4254861111,dispensary,R413683,TRUE,3/30/2021 17:00,FALSE,19302 BOTHELL EVERETT HWY BOTHELL,"Herbal Nation, 19302, Bothell-Everett Highway, Kennard Corner, Bothell, Snohomish County, Washington, 98012, United States",47.82281005,-122.2080769
191,WAWA1.MM5C,1/1/1900 00:00,1/5/2021 18:06,356,,GREEN LADY,603360122,3044 PACIFIC AVE SE STE B,,OLYMPIA,WA,985012043,US,5098697574,dispensary,R415130,TRUE,12/30/2021 16:00,FALSE,3044 PACIFIC AVE SE STE B OLYMPIA,"Pacific Avenue Southeast, Olympia, Thurston County, Washington, 98501-3849, United States",47.0459794,-122.8702001
192,WAWA1.MM5D,1/1/1900 00:00,1/5/2021 18:06,357,,MO BETA GREEN,604601274,8962 BEAVER VALLEY RD,,CHIMACUM,WA,983250000,US,3603794689,dispensary,R421918,TRUE,4/29/2021 17:00,FALSE,8962 BEAVER VALLEY RD CHIMACUM,"8962, Beaver Valley Road, Chimacum, Jefferson County, Washington, 98325, United States",48.01055538,-122.7665881
195,WAWA1.MM5G,1/1/1900 00:00,1/5/2021 18:06,359,,SEA CHANGE CANNABIS,604469365,282332 HIGHWAY 101 STE 2,,PORT TOWNSEND,WA,983688700,US,3603020973,dispensary,R353260,TRUE,7/30/2021 17:00,FALSE,282332 HIGHWAY 101 STE 2 PORT TOWNSEND,,47.9902331,-122.8907836
196,WAWA1.MM5H,1/1/1900 00:00,1/5/2021 18:06,360,,MARGIES'S POT SHOP LLC,603430369,405 E STEUBEN ST,,BINGEN,WA,986050000,US,5099699824,dispensary,R413414,TRUE,8/30/2021 17:00,FALSE,405 E STEUBEN ST BINGEN,"East Steuben Street, Highway Addition, Bingen, Klickitat County, Washington, 98605, United States",45.7123564,-121.4599469
197,WAWA1.MM5I,1/1/1900 00:00,1/5/2021 18:06,362,,GREENSIDE,603349148,10600 MAIN ST,,BELLEVUE,WA,980045922,US,2069724990,dispensary,R414296,FALSE,11/29/2019 16:00,TRUE,10600 MAIN ST BELLEVUE,"Pagliacci Pizza, 10600, Main Street, Bellevue, King County, Washington, 98004-5983, United States",47.6103444,-122.198407
198,WAWA1.MM5J,1/1/1900 00:00,1/5/2021 18:06,363,,GREEN COLLAR CANNABIS,603348039,10422 PACIFIC AVE S STE B,,TACOMA,WA,984446052,US,2533145113,dispensary,R412923,TRUE,11/29/2021 16:00,FALSE,10422 PACIFIC AVE S STE B TACOMA,"10422, Pacific Avenue South, J & C Plaza, Hillsdale, Tacoma, Pierce County, Washington, 98444, United States",47.16259689,-122.4342997
199,WAWA1.MM5K,1/1/1900 00:00,1/5/2021 18:06,364,,TOP SHELF CANNABIS,603350575,3863 HANNEGAN RD,,BELLINGHAM,WA,982269103,US,3602243735,dispensary,R414256,FALSE,11/29/2018 16:00,TRUE,3863 HANNEGAN RD BELLINGHAM,"Top Shelf Cannabis, 3863, Hannegan Road, Bellingham, Whatcom County, Washington, 98226, United States",48.7883286,-122.4431592
202,WAWA1.MM5N,1/1/1900 00:00,1/5/2021 18:06,367,,CANNABLYSS,603359615,2705 HARTFORD DR STE A,,LAKE STEVENS,WA,982589204,US,4253277529,dispensary,R415575,TRUE,12/30/2021 16:00,FALSE,2705 HARTFORD DR STE A LAKE STEVENS,"Hartford Drive, Hartford, Lake Stevens, Snohomish County, Washington, 98358, United States",48.0161215,-122.0628913
204,WAWA1.MM5P,1/1/1900 00:00,1/5/2021 18:06,369,,GREEN THEORY,604304545,1940 124TH AVE NE STE A-101,STE A-101,BELLEVUE,WA,980052130,US,2069921911,dispensary,R425068,TRUE,7/30/2021 17:00,FALSE,1940 124TH AVE NE STE A-101 BELLEVUE,"1940, 124th Avenue Northeast, Spring District, Bellevue, King County, Washington, 98005, United States",47.62559643,-122.1749351
205,WAWA1.MM5Q,1/1/1900 00:00,1/5/2021 18:06,369,,GREEN THEORY FACTORIA,604304545,12827 SE 40TH PL,,BELLEVUE,WA,980061232,US,2069921911,dispensary,R421777,TRUE,7/30/2021 17:00,FALSE,12827 SE 40TH PL BELLEVUE,"12827, Southeast 40th Place, Factoria, Bellevue, King County, Washington, 98006, United States",47.57320336,-122.1681447
210,WAWA1.MM5V,1/1/1900 00:00,1/5/2021 18:06,373,,POT ZONE,603353868,816 72ND ST E,,TACOMA,WA,983660926,US,2533127286,dispensary,R425686,TRUE,12/30/2021 16:00,FALSE,816 72ND ST E TACOMA,"816, 72nd Street East, Tacoma Vista Shopping Center, Midland, Tacoma, Pierce County, Washington, 98404, United States",47.19170944,-122.420663
211,WAWA1.MM5W,1/1/1900 00:00,1/5/2021 18:06,373,,POT ZONE,603353868,1703 SE SEDGWICK RD,STE 113,PORT ORCHARD,WA,983669599,US,2533127280,dispensary,R415229,TRUE,12/30/2021 16:00,FALSE,1703 SE SEDGWICK RD PORT ORCHARD,"1703, Southeast Sedgwick Road, East Port Orchard, Port Orchard, Kitsap County, Washington, 98366, United States",47.5056524,-122.6305565
214,WAWA1.MM5Z,1/1/1900 00:00,1/5/2021 18:06,376,,HIGH SOCIETY,603351033,1824 BROADWAY,,EVERETT,WA,982012349,US,2063071651,dispensary,R414430,TRUE,11/29/2021 16:00,FALSE,1824 BROADWAY EVERETT,"1824, Broadway, Northwest Everett, Everett, Snohomish County, Washington, 98201, United States",47.99332417,-122.2013344
217,WAWA1.MM62,1/1/1900 00:00,1/5/2021 18:06,379,,GREEN OUTFITTERS,603351170,668 OCEAN SHORES BLVD NW,,OCEAN SHORES,WA,985699344,US,4252684391,dispensary,R413798,TRUE,11/29/2021 16:00,FALSE,668 OCEAN SHORES BLVD NW OCEAN SHORES,"668, Ocean Shores Boulevard Northwest, Ocean Shores, Grays Harbor County, Washington, 98569, United States",47.00612861,-124.1659801
221,WAWA1.MM66,1/1/1900 00:00,1/5/2021 18:06,384,,CANNABIS CENTRAL,603383934,1514 W UNIVERSITY WAY,,ELLENSBURG,WA,989262337,US,5092011144,dispensary,R422944,TRUE,3/30/2021 17:00,FALSE,1514 W UNIVERSITY WAY ELLENSBURG,"1514, West University Way, Ellensburg, Kittitas County, Washington, 98926, United States",46.99959103,-120.5561181
234,WAWA1.MM6J,1/1/1900 00:00,1/5/2021 18:06,405,,GANJA GODDESS,603328321,3207 1ST AVE S  UNIT A,,SEATTLE,WA,981341819,US,2066827220,dispensary,R413558,TRUE,8/30/2021 17:00,FALSE,3207 1ST AVE S  UNIT A SEATTLE,"Seattle Art Museum, 1300, 1st Avenue, Pike Place Market Area, Belltown, Seattle, King County, Washington, 98101, United States",47.6077008,-122.3385575
246,WAWA1.MM6V,1/1/1900 00:00,1/5/2021 18:06,417,,SEATTLE TONICS,603358489,12059 AURORA AVE N,,SEATTLE,WA,981338249,US,2063636000,dispensary,R414731,TRUE,12/30/2021 16:00,FALSE,12059 AURORA AVE N SEATTLE,"12059, Aurora Avenue North, Haller Lake, Seattle, King County, Washington, 98133, United States",47.71751765,-122.3455116
247,WAWA1.MM6W,1/1/1900 00:00,1/5/2021 18:06,418,,SMOKANE,603354717,3801 E SPRAGUE AVE,,SPOKANE,WA,992020000,US,2069100199,dispensary,R425362,TRUE,12/30/2021 16:00,FALSE,3801 E SPRAGUE AVE SPOKANE,"3801, East Sprague Avenue, Spokane, Spokane County, Washington, 99202, United States",47.657392,-117.354451
249,WAWA1.MM6Y,1/1/1900 00:00,1/5/2021 18:06,420,,PRC,603321077,18729 FIR ISLAND RD STE C,,MOUNT VERNON,WA,982738159,US,3604456221,dispensary,R414574,TRUE,7/30/2021 17:00,FALSE,18729 FIR ISLAND RD STE C MOUNT VERNON,,,
250,WAWA1.MM6Z,1/1/1900 00:00,1/5/2021 18:06,420,,PRC,603321077,5200 172ND ST NE F-101,,ARLINGTON,WA,982234703,US,4253432272,dispensary,R421084,TRUE,7/30/2021 17:00,FALSE,5200 172ND ST NE F-101 ARLINGTON,"5200, 172nd Street Northeast, Arlington, Snohomish County, Washington, 98223, United States",48.15204663,-122.1602627
255,WAWA1.MM74,1/1/1900 00:00,1/5/2021 18:06,426,,SAVAGE THC,603585026,4426 WILLIAMS VALLEY RD STE B,,CLAYTON,WA,991109745,US,5099992989,dispensary,R428107,TRUE,2/27/2021 16:00,FALSE,4426 WILLIAMS VALLEY RD STE B CLAYTON,"Clayton House, Williams Street East, J. B. Williams Co. Historic District, Glastonbury Center, Glastonbury, Hartford County, Connecticut, 06033, United States",41.70463835,-72.59923734
263,WAWA1.MM7C,1/1/1900 00:00,1/5/2021 18:06,434,,THE GREEN SEED,603346306,412 S INTERLAKE RD,,MOSES LAKE,WA,988372908,US,5098552271,dispensary,R086054,TRUE,11/29/2021 16:00,FALSE,412 S INTERLAKE RD MOSES LAKE,"412, South Interlake Road, Marina Shores, Moses Lake, Grant County, Washington, 98837, United States",47.10244622,-119.3117145
267,WAWA1.MM7G,1/1/1900 00:00,1/5/2021 18:06,441,,GREEN LEAF,603357618,4220 MERIDIAN ST STE 102,,BELLINGHAM,WA,982269153,US,3605262198,dispensary,R413886,TRUE,12/30/2021 16:00,FALSE,4220 MERIDIAN ST STE 102 BELLINGHAM,"4220, Meridian Street, Bellingham, Whatcom County, Washington, 98226, United States",48.79407214,-122.4858743
280,WAWA1.MM7T,1/1/1900 00:00,1/5/2021 18:06,454,,TOKEN HERB,603351978,837 A CRESCENT BEACH RD,,EASTSOUND,WA,982451695,US,3603766900,dispensary,R400209,TRUE,11/29/2021 16:00,FALSE,837 A CRESCENT BEACH RD EASTSOUND,"837, Crescent Beach Drive, Eastsound, San Juan County, Washington, 98245, United States",48.69582129,-122.8856281
287,WAWA1.MM80,1/1/1900 00:00,1/5/2021 18:06,462,,GREENLIGHT,603359320,10309 E TRENT AVE,,MILLWOOD,WA,992064514,US,5094752821,dispensary,R415112,TRUE,12/30/2021 16:00,FALSE,10309 E TRENT AVE MILLWOOD,"East Trent Avenue, Millwood, Spokane Valley, Spokane County, Washington, 99206, United States",47.6841101,-117.2674584
290,WAWA1.MM83,1/1/1900 00:00,1/5/2021 18:06,465,,SMUGGLER BROTHERS,603355893,1912 STATE ROUTE 20,,SEDRO WOOLLEY,WA,982840000,US,3606473437,dispensary,R413762,TRUE,12/30/2021 16:00,FALSE,1912 STATE ROUTE 20 SEDRO WOOLLEY,"Smuggler Brothers Marijuana Mercantile, 1912, North Cascades Highway, Sedro-Woolley, Skagit County, Washington, 98284, United States",48.49570265,-122.2731649
296,WAWA1.MM89,1/1/1900 00:00,1/5/2021 18:06,471,,SATIVA SISTERS,603353810,10525 E TRENT AVE STE 1,,SPOKANE,WA,992064516,US,2086603909,dispensary,R413739,TRUE,12/30/2020 16:00,FALSE,10525 E TRENT AVE STE 1 SPOKANE,"10525, East Trent Avenue, Irwin, Spokane Valley, Spokane County, Washington, 99206, United States",47.68505233,-117.2634401
316,WAWA1.MM8T,1/1/1900 00:00,1/5/2021 18:06,492,,W.C.W. ENTERPRISES,603359717,3708 MT BAKER HWY,,EVERSON,WA,982470000,US,3603928309,dispensary,R415445,TRUE,12/30/2021 16:00,FALSE,3708 MT BAKER HWY EVERSON,,,
323,WAWA1.MM90,1/1/1900 00:00,1/5/2021 18:06,504,,GREEN LIFE CANNABIS,603359944,3012 GS CENTER RD STE A,,WENATCHEE,WA,988019116,US,2817260614,dispensary,R414755,TRUE,12/30/2021 16:00,FALSE,3012 GS CENTER RD STE A WENATCHEE,,,
329,WAWA1.MM96,1/1/1900 00:00,1/5/2021 18:06,509,,LOVING FARMS,603348237,2615 OLD HIGHWAY 99 S,,MOUNT VERNON,WA,982730000,US,3605405168,dispensary,R412370,TRUE,11/29/2021 16:00,FALSE,2615 OLD HIGHWAY 99 S MOUNT VERNON,"Loving Farms, 2615, Old Highway 99 South, Mount Vernon, Skagit County, Washington, 98273, United States",48.4007137,-122.3362901
333,WAWA1.MM9A,1/1/1900 00:00,1/5/2021 18:06,515,,AMERICAN HARVEST,603352573,7550 US 97,,PESHASTIN,WA,988470000,US,5033177035,dispensary,R422954,TRUE,11/29/2021 16:00,FALSE,7550 US 97 PESHASTIN,"US 97, Peshastin, Chelan County, Washington, 98847, United States",47.5576874,-120.5943339
341,WAWA1.MM9I,1/1/1900 00:00,1/5/2021 18:06,523,,MARY MART INC,603622984,3002 6TH AVE STE 100,,TACOMA,WA,984066203,US,2539614231,dispensary,R424311,TRUE,7/30/2021 17:00,FALSE,3002 6TH AVE STE 100 TACOMA,"La Ca Bar, 3002, 6th Avenue, Tacoma, Pierce County, Washington, 98406, United States",47.2549152,-122.4751662
342,WAWA1.MM9J,1/1/1900 00:00,1/5/2021 18:06,524,,420 SPOT SHOP,603405180,1374 SE LUND AVE,,PORT ORCHARD,WA,983665628,US,3603405966,dispensary,R414550,TRUE,5/30/2021 17:00,FALSE,1374 SE LUND AVE PORT ORCHARD,"1374, Southeast Lund Avenue, East Port Orchard, Port Orchard, Kitsap County, Washington, 98366, United States",47.51955378,-122.6333942
345,WAWA1.MM9M,1/1/1900 00:00,1/5/2021 18:06,528,,BUD HUT,603352507,8142 HIGHWAY 14,,LYLE,WA,986350000,US,4254781077,dispensary,R415361,TRUE,11/29/2021 16:00,FALSE,8142 HIGHWAY 14 LYLE,,,
348,WAWA1.MM9P,1/1/1900 00:00,1/5/2021 18:06,535,,THE GREEN DOOR,603419626,28120 HWY 410 E UNIT A8,,BUCKLEY,WA,983218482,US,2532248299,dispensary,R415410,TRUE,7/30/2021 17:00,FALSE,28120 HWY 410 E UNIT A8 BUCKLEY,,47.15906,-122.05299
349,WAWA1.MM9Q,1/1/1900 00:00,1/5/2021 18:06,536,,LONGVIEW FREEDOM MARKET,603354448,971 14TH AVE STE 110,,LONGVIEW,WA,986324049,US,3602617055,dispensary,R413544,TRUE,12/30/2021 16:00,FALSE,971 14TH AVE STE 110 LONGVIEW,"971, 14th Avenue, Longview, Cowlitz County, Washington, 98632, United States",46.13167916,-122.9380591
350,WAWA1.MM9R,1/1/1900 00:00,1/5/2021 18:06,537,,MULTIVERSE HOLDINGS,604228753,14343 15TH AVE NE,,SEATTLE,WA,981253162,US,4256985381,dispensary,R414785,TRUE,2/27/2021 16:00,FALSE,14343 15TH AVE NE SEATTLE,"14343, 15th Avenue Northeast, Haller Lake, Seattle, King County, Washington, 98125, United States",47.7331709,-122.313052
370,WAWA1.MMAB,1/1/1900 00:00,12/29/2020 18:06,558,,OCEAN GREENS,603350909,10524 AURORA AVE N,,SEATTLE,WA,981338812,US,2062299893,dispensary,R428942,TRUE,11/29/2021 16:00,FALSE,10524 AURORA AVE N SEATTLE,"10524, Aurora Avenue North, Seattle, King County, Washington, 98133, United States",47.705933,-122.3442761
