,Unnamed: 0,global_id,created_at,updated_at,external_id,deleted_at,name,certificate_number,address1,address2,city,state_code,postal_code,country_code,phone,type,code,is_live,expired_at,suspended,Full_Address,main-address,Lat,Lon
23,165,WAWA1.MM4M,1/1/1900 00:00,1/5/2021 18:06,331,,THE HAPPY CROP SHOPPE,603339564,50 ROCK ISLAND RD,,EAST WENATCHEE,WA,988025352,US,5098881597,dispensary,R413481,True,10/30/2021 17:00,False,50 ROCK ISLAND RD EAST WENATCHEE,"50, Rock Island Road, East Wenatchee, Douglas County, Washington, 98802, United States",47.40469684,-120.2885847
25,171,WAWA1.MM4S,1/1/1900 00:00,1/5/2021 18:06,335,,420 HOLIDAY,603359238,2028 10TH AVE,,LONGVIEW,WA,986324007,US,3607033103,dispensary,R415526,True,12/30/2021 16:00,False,2028 10TH AVE LONGVIEW,"2028, 10th Avenue, Triangle Shopping Center, Longview, Cowlitz County, Washington, 98632, United States",46.14558681,-122.9294745
27,174,WAWA1.MM4V,1/1/1900 00:00,1/5/2021 18:06,338,,ZIPS CANNABIS,604273684,317 S 72ND ST,,TACOMA,WA,984086003,US,2533024192,dispensary,R427634,True,5/30/2021 17:00,False,317 S 72ND ST TACOMA,"317, South 72nd Street, J & C Plaza, Tacoma, Pierce County, Washington, 98408, United States",47.1919484,-122.4355088
29,178,WAWA1.MM4Z,1/1/1900 00:00,1/5/2021 18:06,342,,420 CARPENTER,603358548,422 CARPENTER RD STE 105,,LACEY,WA,985037906,US,3604026368,dispensary,R415083,True,12/30/2021 16:00,False,422 CARPENTER RD STE 105 LACEY,,47.04842,-122.79557
34,186,WAWA1.MM57,1/1/1900 00:00,1/5/2021 18:06,349,,HERBAL NATION,603489660,19302 BOTHELL EVERETT HWY,,BOTHELL,WA,980127113,US,4254861111,dispensary,R413683,True,3/30/2021 17:00,False,19302 BOTHELL EVERETT HWY BOTHELL,"Herbal Nation, 19302, Bothell-Everett Highway, Kennard Corner, Bothell, Snohomish County, Washington, 98012, United States",47.82281005,-122.2080769
37,195,WAWA1.MM5G,1/1/1900 00:00,1/5/2021 18:06,359,,SEA CHANGE CANNABIS,604469365,282332 HIGHWAY 101 STE 2,,PORT TOWNSEND,WA,983688700,US,3603020973,dispensary,R353260,True,7/30/2021 17:00,False,282332 HIGHWAY 101 STE 2 PORT TOWNSEND,,47.9902331,-122.8907836
40,198,WAWA1.MM5J,1/1/1900 00:00,1/5/2021 18:06,363,,GREEN COLLAR CANNABIS,603348039,10422 PACIFIC AVE S STE B,,TACOMA,WA,984446052,US,2533145113,dispensary,R412923,True,11/29/2021 16:00,False,10422 PACIFIC AVE S STE B TACOMA,"10422, Pacific Avenue South, J & C Plaza, Hillsdale, Tacoma, Pierce County, Washington, 98444, United States",47.16259689,-122.4342997
41,199,WAWA1.MM5K,1/1/1900 00:00,1/5/2021 18:06,364,,TOP SHELF CANNABIS,603350575,3863 HANNEGAN RD,,BELLINGHAM,WA,982269103,US,3602243735,dispensary,R414256,False,11/29/2018 16:00,True,3863 HANNEGAN RD BELLINGHAM,"Top Shelf Cannabis, 3863, Hannegan Road, Bellingham, Whatcom County, Washington, 98226, United States",48.7883286,-122.4431592
46,211,WAWA1.MM5W,1/1/1900 00:00,1/5/2021 18:06,373,,POT ZONE,603353868,1703 SE SEDGWICK RD,STE 113,PORT ORCHARD,WA,983669599,US,2533127280,dispensary,R415229,True,12/30/2021 16:00,False,1703 SE SEDGWICK RD PORT ORCHARD,"1703, Southeast Sedgwick Road, East Port Orchard, Port Orchard, Kitsap County, Washington, 98366, United States",47.5056524,-122.6305565
47,214,WAWA1.MM5Z,1/1/1900 00:00,1/5/2021 18:06,376,,HIGH SOCIETY,603351033,1824 BROADWAY,,EVERETT,WA,982012349,US,2063071651,dispensary,R414430,True,11/29/2021 16:00,False,1824 BROADWAY EVERETT,"1824, Broadway, Northwest Everett, Everett, Snohomish County, Washington, 98201, United States",47.99332417,-122.2013344
49,221,WAWA1.MM66,1/1/1900 00:00,1/5/2021 18:06,384,,CANNABIS CENTRAL,603383934,1514 W UNIVERSITY WAY,,ELLENSBURG,WA,989262337,US,5092011144,dispensary,R422944,True,3/30/2021 17:00,False,1514 W UNIVERSITY WAY ELLENSBURG,"1514, West University Way, Ellensburg, Kittitas County, Washington, 98926, United States",46.99959103,-120.5561181
54,250,WAWA1.MM6Z,1/1/1900 00:00,1/5/2021 18:06,420,,PRC,603321077,5200 172ND ST NE F-101,,ARLINGTON,WA,982234703,US,4253432272,dispensary,R421084,True,7/30/2021 17:00,False,5200 172ND ST NE F-101 ARLINGTON,"5200, 172nd Street Northeast, Arlington, Snohomish County, Washington, 98223, United States",48.15204663,-122.1602627
66,341,WAWA1.MM9I,1/1/1900 00:00,1/5/2021 18:06,523,,MARY MART INC,603622984,3002 6TH AVE STE 100,,TACOMA,WA,984066203,US,2539614231,dispensary,R424311,True,7/30/2021 17:00,False,3002 6TH AVE STE 100 TACOMA,"La Ca Bar, 3002, 6th Avenue, Tacoma, Pierce County, Washington, 98406, United States",47.2549152,-122.4751662
69,348,WAWA1.MM9P,1/1/1900 00:00,1/5/2021 18:06,535,,THE GREEN DOOR,603419626,28120 HWY 410 E UNIT A8,,BUCKLEY,WA,983218482,US,2532248299,dispensary,R415410,True,7/30/2021 17:00,False,28120 HWY 410 E UNIT A8 BUCKLEY,,47.15906,-122.05299
71,350,WAWA1.MM9R,1/1/1900 00:00,1/5/2021 18:06,537,,MULTIVERSE HOLDINGS,604228753,14343 15TH AVE NE,,SEATTLE,WA,981253162,US,4256985381,dispensary,R414785,True,2/27/2021 16:00,False,14343 15TH AVE NE SEATTLE,"14343, 15th Avenue Northeast, Haller Lake, Seattle, King County, Washington, 98125, United States",47.7331709,-122.313052
76,384,WAWA1.MMAP,1/1/1900 00:00,1/5/2021 18:06,571,,UNCLE IKE'S,604598096,2310 EAST UNION ST,,SEATTLE,WA,981222966,US,2064203784,dispensary,R414533,True,4/29/2021 17:00,False,2310 EAST UNION ST SEATTLE,"Uncle Ike's Pot Shop, 2310, East Union Street, Madison Valley, Seattle, King County, Washington, 98122, United States",47.6133572,-122.3021505
77,385,WAWA1.MMAQ,1/1/1900 00:00,7/12/2019 18:33,572,,THE STASH BOX                                ,603350058,3108 A ST SE STE F            ,,AUBURN                  ,WA,980929300,US,2537970959,dispensary,R412494,True,1/30/2020 16:00,False,3108 A ST SE STE F             AUBURN                  ,"3108, A Street Southeast, Stuck, South Auburn, Auburn, King County, Washington, 98002, United States",47.28009785,-122.2281252
81,403,WAWA1.MMB8,1/1/1900 00:00,1/5/2021 18:06,594,,MR. BILLS OF BUCKLEY,603405237,29393 STATE ROUTE 410 E STE D,,BUCKLEY,WA,983219424,US,3607617540,dispensary,R424751,True,5/30/2021 17:00,False,29393 STATE ROUTE 410 E STE D BUCKLEY,,,
84,408,WAWA1.MMBD,1/1/1900 00:00,1/5/2021 18:06,599,,CINDER,603352412,1421 N MULLAN RD STE B,,SPOKANE VALLEY,WA,992064051,US,5092413726,dispensary,R414817,True,11/29/2021 16:00,False,1421 N MULLAN RD STE B SPOKANE VALLEY,"1421, North Mullan Road, Dishman, Spokane Valley, Spokane County, Washington, 99206, United States",47.66985739,-117.281657
85,409,WAWA1.MMBE,1/1/1900 00:00,1/5/2021 18:06,600,,HERBAL E SCENTS,602484317,120 NE CANNING DR,,COLVILLE,WA,991142004,US,5096844420,dispensary,R411970,True,5/30/2021 17:00,False,120 NE CANNING DR COLVILLE,,48.54657,-117.90554
86,412,WAWA1.MMBH,1/1/1900 00:00,1/5/2021 18:06,603,,HWY 420,603406099,1110 CHARLESTON BEACH RD W,,BREMERTON,WA,983124504,US,3609323182,dispensary,R413843,True,5/30/2021 17:00,False,1110 CHARLESTON BEACH RD W BREMERTON,"KBRO-AM (Bremerton), 1st Street, Charleston, Bremerton, Kitsap County, Washington, 98337, United States",47.5647272,-122.6590526
91,439,WAWA1.MMC8,1/1/1900 00:00,1/5/2021 18:06,640,,MR. DOOBEES,603412363,1410 40TH ST,,SEAVIEW,WA,986442037,US,3608758016,dispensary,R424190,True,6/29/2021 17:00,False,1410 40TH ST SEAVIEW,"Seaview Post Office, 101, 40th Place, Seaview, Pacific County, Washington, 98644, United States",46.3318613,-124.0545425
92,440,WAWA1.MMC9,1/1/1900 00:00,1/5/2021 18:06,641,,LOCALAMSTER,604193795,1006 CALIFORNIA WAY,,LONGVIEW,WA,986321615,US,3603533628,dispensary,R414243,True,11/29/2021 16:00,False,1006 CALIFORNIA WAY LONGVIEW,"1006, California Way, Longview, Cowlitz County, Washington, 98632, United States",46.12164577,-122.9361285
93,444,WAWA1.MMCD,1/1/1900 00:00,1/5/2021 18:06,646,,THE HIDDEN BUSH,603351133,3230 E HWY 101,,PORT ANGELES,WA,983629073,US,3604529395,dispensary,R412921,True,11/29/2021 16:00,False,3230 E HWY 101 PORT ANGELES,"E, O Street, Port Angeles, Clallam County, Washington, United States",48.118337,-123.4980505
94,445,WAWA1.MMCE,1/1/1900 00:00,1/5/2021 18:06,647,,KUSHMART,603347250,6309 EVERGREEN WAY STE C,,EVERETT,WA,982034559,US,2067691282,dispensary,R414520,True,11/29/2021 16:00,False,6309 EVERGREEN WAY STE C EVERETT,"6309, Evergreen Way, Claremont Village, South Forest Park, Everett, Snohomish County, Washington, 98203, United States",47.94021172,-122.2178178
95,446,WAWA1.MMCF,1/1/1900 00:00,1/5/2021 18:06,648,,HAPPY TIME,603515811,1315 N 1ST ST,,YAKIMA,WA,989011801,US,5094802097,dispensary,R354876,True,6/29/2021 17:00,False,1315 N 1ST ST YAKIMA,"1315, North 1st Street, Yakima, Yakima County, Washington, 98901, United States",46.61907414,-120.5118198
100,460,WAWA1.MMCT,1/1/1900 00:00,1/5/2021 18:06,663,,MUFFYS POT SHOP,603359355,3134 E HIGHWAY 101 SUITE A,,PORT ANGELES,WA,983629074,US,3608082532,dispensary,R413930,True,1/30/2022 16:00,False,3134 E HIGHWAY 101 SUITE A PORT ANGELES,,48.11815,-123.43074
104,469,WAWA1.MMD2,1/1/1900 00:00,1/5/2021 18:06,672,,THE SLOW BURN,603410267,4101 MAIN STREET,,UNION GAP,WA,989032042,US,5098234792,dispensary,R413773,True,6/29/2021 17:00,False,4101 MAIN STREET UNION GAP,"4101, Main Street, Union Gap, Yakima County, Washington, 98903, United States",46.546541,-120.475545
109,490,WAWA1.MMDN,1/1/1900 00:00,1/5/2021 18:06,693,,HERB'S HOUSE,603285183,716 NW 65TH ST,,SEATTLE,WA,981175049,US,2065577388,dispensary,R402039,True,3/30/2021 17:00,False,716 NW 65TH ST SEATTLE,"Herb's House, 716, Northwest 65th Street, Phinney Ridge, Seattle, King County, Washington, 98117, United States",47.6761719,-122.3653093
115,515,WAWA1.MMEC,1/1/1900 00:00,1/5/2021 18:06,720,,BUD COMMANDER,603351819,849 TROSPER RD SW STE 207,,TUMWATER,WA,985128145,US,3606881709,dispensary,R413802,True,11/29/2021 16:00,False,849 TROSPER RD SW STE 207 TUMWATER,"849, Trosper Road Southwest, Barnes Lake Condominiums, Tumwater, Thurston County, Washington, 98512, United States",46.99989136,-122.9183
116,522,WAWA1.MMEJ,1/1/1900 00:00,1/5/2021 18:06,729,,THE TOP SHELF,604276145,1305 S HAYFORD RD STE A,SUITE A,AIRWAY HEIGHTS,WA,992245276,US,5094741050,dispensary,R414716,True,5/30/2021 17:00,False,1305 S HAYFORD RD STE A AIRWAY HEIGHTS,"South Hayford Road, Airway Heights, Spokane County, Washington, 99001, United States",47.6356187,-117.5609268
117,523,WAWA1.MMEK,1/1/1900 00:00,1/5/2021 18:06,730,,ISSAQUAH CANNABIS COMPANY,603356479,230 NE JUNIPER ST STE#201,STE#201,ISSAQUAH,WA,980272519,US,2069492124,dispensary,R414867,True,12/30/2021 16:00,False,230 NE JUNIPER ST STE#201 ISSAQUAH,,47.5394363,-122.031936
119,534,WAWA1.MMEV,1/1/1900 00:00,1/5/2021 18:06,739,,TREEHOUSE CLUB,603420335,14421 E TRENT AVE,,SPOKANE VALLEY,WA,992161392,US,5094132169,dispensary,R413369,True,7/30/2021 17:00,False,14421 E TRENT AVE SPOKANE VALLEY,"14421, East Trent Avenue, Irwin, Trentwood, Spokane Valley, Spokane County, Washington, 99216, United States",47.69494785,-117.2113238
122,553,WAWA1.MMFE,1/1/1900 00:00,1/5/2021 18:06,758,,THE MARIJUANA MERCANTILE,603441962,8411 SR 92 STE 5,,GRANITE FALLS,WA,982520000,US,3603227122,dispensary,R415216,True,10/30/2021 17:00,False,8411 SR 92 STE 5 GRANITE FALLS,,48.072325,-122.00909
124,563,WAWA1.MMFO,1/1/1900 00:00,1/5/2021 18:06,770,,EMERALD LEAVES,603561521,2702 6TH AVE,,TACOMA,WA,984067213,US,2064825627,dispensary,R413363,True,11/29/2021 16:00,False,2702 6TH AVE TACOMA,"2702, 6th Avenue, Tacoma, Pierce County, Washington, 98406, United States",47.25535798,-122.4715557
127,572,WAWA1.MMFX,1/1/1900 00:00,1/5/2021 18:06,780,,HIGHER LEAF MARIJUANA BOUTIQUE,603414213,12525 WILLOWS RD NE STE 10,,KIRKLAND,WA,980348735,US,4258205967,dispensary,R422218,True,6/29/2021 17:00,False,12525 WILLOWS RD NE STE 10 KIRKLAND,"12525, Willows Road Northeast, Earlmont, Kirkland, King County, Washington, 98034, United States",47.7128172,-122.1542137
131,584,WAWA1.MMG9,1/1/1900 00:00,1/5/2021 18:06,790,,THE HERBERY,603355031,6018 NE ST JOHNS RD STE D,,VANCOUVER,WA,986610000,US,3608417505,dispensary,R426563,True,12/30/2021 16:00,False,6018 NE ST JOHNS RD STE D VANCOUVER,"The Herbery - St Johns, 6018, Northeast Saint Johns Road, West Minnehaha, Vancouver, Clark County, Washington, 98661, United States",45.6661136,-122.6369275
132,585,WAWA1.MMGA,1/1/1900 00:00,1/5/2021 18:06,790,,THE HERBERY,603355031,330 NE CHKALOV DR STE C & D,STE C & D,VANCOUVER,WA,986845032,US,3609079694,dispensary,R071368,True,12/30/2021 16:00,False,330 NE CHKALOV DR STE C & D VANCOUVER,"330, Northeast Chkalov Drive, Marrion, Vancouver, Clark County, Washington, 98684, United States",45.6223296,-122.5569346
139,625,WAWA1.MMHE,1/1/1900 00:00,1/5/2021 18:06,836,,THE GALLERY SPANAWAY,603336732,21802 MOUNTAIN HWY E  STE 1,,SPANAWAY,WA,983870000,US,3052988577,dispensary,R413420,True,9/29/2021 17:00,False,21802 MOUNTAIN HWY E  STE 1 SPANAWAY,"Mountain Highway East, Spanaway, Pierce County, Washington, 98387-8412, United States",47.0731619,-122.4209985
142,636,WAWA1.MMHP,1/1/1900 00:00,12/29/2020 18:06,850,,THE GREEN NUGGET,603349025,322 E FRANCIS AVE STE A,,SPOKANE,WA,992081086,US,5093092130,dispensary,R427121,True,11/29/2021 16:00,False,322 E FRANCIS AVE STE A SPOKANE,"The Green Nugget, 322, East Francis Avenue, Spokane, Spokane County, Washington, 99217, United States",47.71465845,-117.4050226
145,650,WAWA1.MMI3,1/1/1900 00:00,1/5/2021 18:06,872,,OZ. KING CANNABIS,603452132,11463 RAINIER AVE S STE A,,SEATTLE,WA,981783963,US,2062517358,dispensary,R414573,True,11/29/2021 16:00,False,11463 RAINIER AVE S STE A SEATTLE,"Rainier Avenue South, Mount Baker, Seattle, King County, Washington, 98144, United States",47.5760069,-122.2963504
149,672,WAWA1.MMIP,1/1/1900 00:00,7/30/2020 19:14,905,,KUSH 21,604616924,13224 HWY 99 STE A,STE A,EVERETT,WA,982045424,US,3605611664,dispensary,R415406,True,5/30/2021 17:00,False,13224 HWY 99 STE A EVERETT,"State Highway 99, Cascade View, Everett, Snohomish County, Washington, 98203, United States",47.9149366,-122.2109921
150,673,WAWA1.MMIQ,1/1/1900 00:00,1/5/2021 18:06,905,,CHRONIC SOLUTIONS,603441961,"212 W WINESAP RD STE 101, 102",,BOTHELL,WA,980129210,US,4256737420,dispensary,R415222,True,10/30/2021 17:00,False,"212 W WINESAP RD STE 101, 102 BOTHELL",,47.76232,-122.2054
155,692,WAWA1.MMJ9,1/1/1900 00:00,1/5/2021 18:06,933,,HAVE A HEART,603190983,12833 MARTIN LUTHER KING JR,WAY S,SEATTLE,WA,981783513,US,2062618206,dispensary,R415333,True,3/30/2021 17:00,False,12833 MARTIN LUTHER KING JR SEATTLE,"Martin Luther King, Avenida Atemajac, G.U.S.A., Zapopan, Jalisco, 45170, México",20.721046,-103.363824
165,709,WAWA1.MMJQ,1/1/1900 00:00,1/5/2021 18:06,959,,A GREENER TODAY MARIJUANA,603450139,5209 MARTIN LUTHER KING JR.,WAY S,SEATTLE,WA,981186131,US,2066877877,dispensary,R414441,True,11/29/2021 16:00,False,5209 MARTIN LUTHER KING JR. SEATTLE,"Martin Luther King, Avenida Atemajac, G.U.S.A., Zapopan, Jalisco, 45170, México",20.721046,-103.363824
171,725,WAWA1.MMK6,1/1/1900 00:00,1/5/2021 18:06,979,,CANNA4LIFE,603448282,721 6TH ST,,CLARKSTON,WA,994032001,US,5099903124,dispensary,R414211,True,10/30/2021 17:00,False,721 6TH ST CLARKSTON,"721, 6th Street, Clarkston, Asotin County, Washington, 99403, United States",46.41494063,-117.045442
177,735,WAWA1.MMKG,1/1/1900 00:00,1/5/2021 18:06,996,,KUSH 21,604600562,517 128TH ST SW STE B,,EVERETT,WA,982047311,US,2063830943,dispensary,R425493,True,4/29/2021 17:00,False,517 128TH ST SW STE B EVERETT,,47.88271,-122.2408
187,780,WAWA1.MMLP,1/1/1900 00:00,7/12/2019 18:33,1042,,POT SHOP                                     ,603325561,1628 DEXTER AVE N STE A       ,STE A,SEATTLE                 ,WA,981093019,US,6145615684,dispensary,R079013,True,8/30/2019 17:00,False,1628 DEXTER AVE N STE A        SEATTLE                 ,"The Toledo, 1628, Dexter Avenue North, Westlake, Queen Anne, Seattle, King County, Washington, 98109, United States",47.6338758,-122.3420228
190,800,WAWA1.MMM9,1/1/1900 00:00,1/5/2021 18:06,1063,,WHITE RABBIT RETAIL,603353749,15928 HWY 99,,LYNNWOOD,WA,980870000,US,4257454242,dispensary,R414398,True,11/29/2021 16:00,False,15928 HWY 99 LYNNWOOD,"Highway 99, Seattle Heights, Lynnwood, Snohomish County, Washington, 98036, United States",47.8158183,-122.3196546
191,808,WAWA1.MMMH,1/1/1900 00:00,1/5/2021 18:06,1073,,LOCALS CANNA HOUSE,603358873,9616 E SPRAGUE AVE,STE B,SPOKANE VALLEY,WA,992060000,US,5092946552,dispensary,R414823,True,12/30/2021 16:00,False,9616 E SPRAGUE AVE SPOKANE VALLEY,"East Sprague Avenue, Spokane Valley, Spokane County, Washington, 99016, United States",47.6570416,-117.2607217
196,845,WAWA1.MMNI,1/1/1900 00:00,1/5/2021 18:06,1117,,WORLD OF WEED,603402365,3202 E PORTLAND AVE,,TACOMA,WA,984044929,US,2532729333,dispensary,R414449,True,5/30/2021 17:00,False,3202 E PORTLAND AVE TACOMA,"3202, East Portland Avenue, Salishan, Tacoma, Pierce County, Washington, 98404, United States",47.23459406,-122.4095944
199,862,WAWA1.MMNZ,1/1/1900 00:00,1/5/2021 18:06,1137,,HAVE A HEART,603353637,115 BLANCHARD ST,,SEATTLE,WA,981212020,US,5202508988,dispensary,R423379,True,12/30/2021 16:00,False,115 BLANCHARD ST SEATTLE,"115, Blanchard Street, Central Business District, Belltown, Seattle, King County, Washington, 98121, United States",47.6130391,-122.3444425
208,944,WAWA1.MMQ9,1/1/1900 00:00,1/5/2021 18:06,1230,,TOP SHELF CANNABIS,603152679,4712 PACIFIC HWY,,BELLINGHAM,WA,982269049,US,3603194102,dispensary,R417469,True,11/29/2021 16:00,False,4712 PACIFIC HWY BELLINGHAM,"4712, Pacific Highway, Bellingham, Whatcom County, Washington, 98226, United States",48.81647276,-122.5445431
214,969,WAWA1.MMQY,1/1/1900 00:00,1/5/2021 18:06,1257,,DESTINATION HIGHWAY 420,603453957,1225 HOLLIS ST,,BREMERTON,WA,983103611,US,3606278754,dispensary,R414503,True,11/29/2021 16:00,False,1225 HOLLIS ST BREMERTON,"1225, Hollis Street, East Bremerton, Bremerton, Kitsap County, Washington, 98310, United States",47.6025171,-122.6283749
235,1146,WAWA1.MMVV,1/1/1900 00:00,7/12/2019 18:33,1532,,HIGH-5 CANNABIS                              ,603404017,6511 NE 137TH AVE             ,,VANCOUVER               ,WA,986825505,US,3605714568,dispensary,R421702,True,5/30/2020 17:00,False,6511 NE 137TH AVE              VANCOUVER               ,"6511, Northeast 137th Avenue, North Image, Vancouver, Clark County, Washington, 98682, United States",45.66997778,-122.5315743
237,1165,WAWA1.MMWE,1/1/1900 00:00,1/5/2021 18:06,1572,,ZIPS CANNABIS,604326759,3213 S 38TH STE C,,TACOMA,WA,984041094,US,2532920197,dispensary,R084154,True,8/30/2021 17:00,False,3213 S 38TH STE C TACOMA,"Tacoma Church of Divine Man, North 38th Street, Tacoma, Pierce County, Washington, 98407, United States",47.2832791,-122.4982911
254,1222,WAWA1.MMXZ,1/1/1900 00:00,1/5/2021 18:06,1685,,EVERGREEN MARKET - AUBURN,603357778,402 16TH ST NE STE A-100,,AUBURN,WA,980021600,US,2068527155,dispensary,R414714,True,12/30/2021 16:00,False,402 16TH ST NE STE A-100 AUBURN,"402, 16th Street Northeast, Auburn, King County, Washington, 98002, United States",47.32172545,-122.224216
255,1224,WAWA1.MMY1,1/1/1900 00:00,1/5/2021 18:06,1687,,112TH STREET CANNABIS,603349167,5809 112TH ST E BLDG B,,PUYALLUP,WA,983734323,US,2069924008,dispensary,R423413,True,11/29/2021 16:00,False,5809 112TH ST E BLDG B PUYALLUP,,47.18538,-122.2929
277,1291,WAWA1.MMZW,1/1/1900 00:00,1/5/2021 18:06,1787,,BUD BARN,604337480,6725 MARTIN WAY E,,OLYMPIA,WA,985165541,US,3605150258,dispensary,R421335,True,9/29/2021 17:00,False,6725 MARTIN WAY E OLYMPIA,"Martin Way East, Olympia, Thurston County, Washington, 98506-5049, United States",47.0477825,-122.8360762
279,1293,WAWA1.MMZY,1/1/1900 00:00,1/5/2021 18:06,1787,,THC OF OLYMPIA,604350534,3203 MARTIN WAY E STE D,,OLYMPIA,WA,985064951,US,3605281719,dispensary,R421069,True,11/29/2021 16:00,False,3203 MARTIN WAY E STE D OLYMPIA,"Martin Way East, Olympia, Thurston County, Washington, 98506-5049, United States",47.0477825,-122.8360762
280,1294,WAWA1.MMZZ,1/1/1900 00:00,1/5/2021 18:06,1788,,UNCLE IKE'S,604598096,501 15TH AVE E,,SEATTLE,WA,981120000,US,2064203784,dispensary,R421141,True,4/29/2021 17:00,False,501 15TH AVE E SEATTLE,"Uncle Ike's, 501, 15th Avenue East, Capitol Hill, Seattle, King County, Washington, 98112, United States",47.6232134,-122.312832
288,1307,WAWA1.MM10C,1/1/1900 00:00,1/5/2021 18:06,1804,,DANK'S WONDER EMPORIUM,603350069,203 KINWOOD ST SE,STE A,LACEY,WA,985031445,US,3609158468,dispensary,R430691,True,3/30/2021 17:00,False,203 KINWOOD ST SE LACEY,"203, Kinwood Road Southeast, Lacey, Thurston County, Washington, 98503, United States",47.05017301,-122.791419
291,1314,WAWA1.MM10J,1/1/1900 00:00,1/5/2021 18:06,1814,,YAKIMA WEED CO,604162056,1606 FRUITVALE BLVD,,YAKIMA,WA,989021237,US,2066826644,dispensary,R353928,True,8/30/2021 17:00,False,1606 FRUITVALE BLVD YAKIMA,"1606, Fruitvale Boulevard, Fruitvale, Yakima, Yakima County, Washington, 98902, United States",46.61248946,-120.5306898
